start_x,start_y,start_z,end_x,end_y,end_z
0,0,0,10.5,0,0
10.5,0,0,10.5,5.025,0
10.5,5.025,0,6.8,5.025,0
6.8,5.025,0,6.8,5.2275,0
6.8,5.2275,0,0,5.2275,0
0,5.2275,0,0,0,0
